Status,Start Date,Product,Style,Batch Number,Turn Count,Original Gravity,Date,Created By,Task,Temperature,Gravity,pH,Yeast Attenuation,ABV,Actual ABV,Taste Aroma Notes,Batch Locations
Completed,16/05/2022,Trip d'Automne,Belge,1676,0,15.5000,17/05/2022 ,Brasserie Brasserie,Fermentation Log / Tue May 17,19.10,3.80,4.04,80.69%,6.39%,0.00,,
Completed,16/05/2022,Trip d'Automne,Belge,1676,0,15.5000,18/05/2022 ,Brasserie Brasserie,Fermentation Log / Wed May 18,19.80,3.20,4.12,84.83%,6.71%,0.00,,
Completed,16/05/2022,Trip d'Automne,Belge,1676,0,15.5000,19/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 19,20.00,3.00,3.99,86.21%,6.81%,0.00,,
Completed,16/05/2022,Trip d'Automne,Belge,1676,0,15.5000,20/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 20,19.90,2.90,4.09,86.90%,6.86%,0.00,,
Completed,16/05/2022,Trip d'Automne,Belge,1676,0,15.5000,23/05/2022 ,Brasserie Brasserie,Fermentation Log / Mon May 23,19.80,2.70,4.18,88.28%,6.97%,0.00,,
Completed,16/05/2022,Trip d'Automne,Belge,1676,0,15.5000,24/05/2022 ,Brasserie Brasserie,Fermentation Log,19.80,2.70,4.17,88.28%,6.97%,0.00,Drop à 2*,
Completed,17/05/2022,IPA Test #97 | Citra Mosaic,NEIPA,1677,1,14.7000,17/05/2022 ,Brasserie Brasserie,Fermentation Log / Tue May 17,23.00,14.70,5.31,0.00%,0.00%,0.00,,
Completed,17/05/2022,IPA Test #97 | Citra Mosaic,NEIPA,1677,1,14.7000,18/05/2022 ,Brasserie Brasserie,Fermentation Log / Wed May 18,19.80,10.50,4.16,30.66%,2.34%,0.00,,
Completed,17/05/2022,IPA Test #97 | Citra Mosaic,NEIPA,1677,1,14.7000,19/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 19,19.30,4.80,3.97,72.26%,5.41%,0.00,,
Completed,17/05/2022,IPA Test #97 | Citra Mosaic,NEIPA,1677,1,14.7000,20/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 20,19.80,3.80,4.20,79.56%,5.93%,0.00,,
Completed,17/05/2022,IPA Test #97 | Citra Mosaic,NEIPA,1677,1,14.7000,23/05/2022 ,Brasserie Brasserie,Fermentation Log / Mon May 23,18.50,3.30,4.32,83.21%,6.20%,0.00,,
Completed,17/05/2022,IPA Test #97 | Citra Mosaic,NEIPA,1677,1,14.7000,24/05/2022 ,Brasserie Brasserie,Fermentation Log / Tue May 24,19.30,3.30,4.23,83.21%,6.20%,0.00,,
Completed,17/05/2022,IPA Test #97 | Citra Mosaic,NEIPA,1677,1,14.7000,25/05/2022 ,Brasserie Brasserie,Fermentation Log / Wed May 25,18.40,3.10,4.37,84.67%,6.30%,0.00,,
Completed,17/05/2022,IPA Test #97 | Citra Mosaic,NEIPA,1677,1,14.7000,26/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 26,18.40,3.10,4.29,84.67%,6.30%,0.00,,
Completed,17/05/2022,IPA Test #97 | Citra Mosaic,NEIPA,1677,1,14.7000,27/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 27,18.40,3.10,4.29,84.67%,6.30%,0.00,,
Completed,18/05/2022,Qui roule,NEIPA,1678,1,12.5000,18/05/2022 ,Brasserie Brasserie,Fermentation Log / Wed May 18,23.00,12.50,4.84,0.00%,0.00%,0.00,,
Completed,18/05/2022,Qui roule,NEIPA,1678,1,12.5000,19/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 19,20.10,7.50,4.00,43.48%,2.74%,0.00,,
Completed,18/05/2022,Qui roule,NEIPA,1678,1,12.5000,20/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 20,19.70,4.10,4.12,73.04%,4.53%,0.00,,
Completed,18/05/2022,Qui roule,NEIPA,1678,1,12.5000,23/05/2022 ,Brasserie Brasserie,Fermentation Log / Mon May 23,19.20,3.40,4.20,79.13%,4.90%,0.00,,
Completed,18/05/2022,Qui roule,NEIPA,1678,1,12.5000,24/05/2022 ,Brasserie Brasserie,Fermentation Log / Tue May 24,19.20,3.30,4.21,80.00%,4.95%,0.00,,
Completed,18/05/2022,Qui roule,NEIPA,1678,1,12.5000,26/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 26,19.00,3.20,4.24,80.87%,5.00%,0.00,,
Completed,18/05/2022,Qui roule,NEIPA,1678,1,12.5000,27/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 27,18.90,3.00,4.16,82.61%,5.11%,0.00,,
Completed,18/05/2022,Garnotte,NEIPA,1679,1,18.9000,18/05/2022 ,Brasserie Brasserie,Fermentation Log / Wed May 18,23.00,18.90,5.39,0.00%,0.00%,0.00,,
Completed,18/05/2022,Garnotte,NEIPA,1679,1,18.9000,19/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 19,20.20,13.60,4.38,29.61%,3.05%,0.00,,
Completed,18/05/2022,Garnotte,NEIPA,1679,1,18.9000,20/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 20,32.30,6.10,4.27,71.51%,7.15%,0.00,,
Completed,18/05/2022,Garnotte,NEIPA,1679,1,18.9000,23/05/2022 ,Brasserie Brasserie,Fermentation Log / Mon May 23,22.00,5.40,4.50,75.42%,7.52%,0.00,,
Completed,18/05/2022,Garnotte,NEIPA,1679,1,18.9000,24/05/2022 ,Brasserie Brasserie,Fermentation Log / Tue May 24,22.90,5.20,4.53,76.54%,7.62%,0.00,,
Completed,18/05/2022,Garnotte,NEIPA,1679,1,18.9000,26/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 26,22.20,5.20,4.64,76.54%,7.62%,0.00,,
Completed,18/05/2022,Garnotte,NEIPA,1679,1,18.9000,27/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 27,21.90,5.20,4.57,76.54%,7.62%,0.00,,
Completed,19/05/2022,Qui roule,NEIPA,1680,1,12.0000,19/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 19,22.40,12.00,4.98,0.00%,0.00%,0.00,,
Completed,19/05/2022,Qui roule,NEIPA,1680,1,12.0000,20/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 20,20.00,5.80,4.07,56.36%,3.37%,0.00,,
Completed,19/05/2022,Qui roule,NEIPA,1680,1,12.0000,23/05/2022 ,Brasserie Brasserie,Fermentation Log / Mon May 23,20.10,3.20,4.33,80.00%,4.73%,0.00,,
Completed,19/05/2022,Qui roule,NEIPA,1680,1,12.0000,24/05/2022 ,Brasserie Brasserie,Fermentation Log / Tue May 24,20.00,3.10,4.34,80.91%,4.78%,0.00,,
Completed,19/05/2022,Qui roule,NEIPA,1680,1,12.0000,26/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 26,19.90,3.00,4.29,81.82%,4.83%,0.00,,
Completed,19/05/2022,Qui roule,NEIPA,1680,1,12.0000,27/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 27,19.80,2.90,4.29,82.73%,4.89%,0.00,Drop à 2*,
Completed,24/05/2022,IPA test #98 | Citra El Dorado Lupomax,NEIPA,1681,1,14.4000,24/05/2022 ,Brasserie Brasserie,Fermentation Log / Tue May 24,23.70,14.10,5.04,2.24%,0.17%,0.00,,
Completed,24/05/2022,IPA test #98 | Citra El Dorado Lupomax,NEIPA,1681,1,14.4000,24/05/2022 ,Brasserie Brasserie,Densité départ,23.00,14.40,0.00,0.00%,0.00%,0.00,,
Completed,24/05/2022,IPA test #98 | Citra El Dorado Lupomax,NEIPA,1681,1,14.4000,25/05/2022 ,Brasserie Brasserie,Fermentation Log / Wed May 25,20.00,8.20,4.20,46.27%,3.43%,0.00,,
Completed,24/05/2022,IPA test #98 | Citra El Dorado Lupomax,NEIPA,1681,1,14.4000,26/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 26,20.10,4.70,4.38,72.39%,5.29%,0.00,,
Completed,24/05/2022,IPA test #98 | Citra El Dorado Lupomax,NEIPA,1681,1,14.4000,27/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 27,19.60,4.00,4.38,77.61%,5.66%,0.00,,
Completed,24/05/2022,IPA test #98 | Citra El Dorado Lupomax,NEIPA,1681,1,14.4000,30/05/2022 ,Brasserie Brasserie,Fermentation Log / Mon May 30,17.60,3.50,4.36,81.34%,5.92%,0.00,,
Completed,24/05/2022,IPA test #98 | Citra El Dorado Lupomax,NEIPA,1681,1,14.4000,31/05/2022 ,Brasserie Brasserie,Fermentation Log / Tue May 31,18.30,3.40,4.42,82.09%,5.97%,0.00,,
Completed,24/05/2022,IPA test #98 | Citra El Dorado Lupomax,NEIPA,1681,1,14.4000,01/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 01,18.60,3.30,4.41,82.84%,6.03%,0.00,,
Completed,24/05/2022,IPA test #98 | Citra El Dorado Lupomax,NEIPA,1681,1,14.4000,02/06/2022 ,Brasserie Brasserie,Fermentation Log / Thu Jun 02,17.60,3.20,4.43,83.58%,6.08%,0.00,,
Completed,24/05/2022,IPA test #98 | Citra El Dorado Lupomax,NEIPA,1681,1,14.4000,03/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 03,17.60,3.20,4.43,83.58%,6.08%,0.00,,
Completed,24/05/2022,Inspiration,India Pale Ale,1682,1,15.8000,24/05/2022 ,Brasserie Brasserie,Pitch dans FV5,20.00,15.80,5.25,0.00%,0.00%,0.00,,
Completed,24/05/2022,Inspiration,India Pale Ale,1682,1,15.8000,24/05/2022 ,Brasserie Brasserie,Fermentation Log,19.60,15.80,5.25,0.00%,0.00%,0.00,,
Completed,24/05/2022,Inspiration,India Pale Ale,1682,1,15.8000,26/05/2022 ,Brasserie Brasserie,Fermentation Log,20.00,15.30,4.88,3.38%,0.29%,0.00,,
Completed,24/05/2022,Inspiration,India Pale Ale,1682,1,15.8000,27/05/2022 ,Brasserie Brasserie,Fermentation Log,19.80,8.90,4.20,46.62%,3.85%,0.00,,
Completed,24/05/2022,Inspiration,India Pale Ale,1682,1,15.8000,30/05/2022 ,Brasserie Brasserie,Fermentation Log,18.80,4.50,4.21,76.35%,6.20%,0.00,,
Completed,24/05/2022,Inspiration,India Pale Ale,1682,1,15.8000,06/06/2022 ,Simon Lalonde,Fermentation Log,16.00,3.80,4.39,81.08%,6.56%,0.00,,
Completed,24/05/2022,Inspiration,India Pale Ale,1682,1,15.8000,09/06/2022 ,Simon Lalonde,Données BT,-0.60,3.90,4.35,81.08%,6.56%,0.065,"OK: Couleur un peu pale, beau haze. Tropicale, green et sec. Amertume/green résiduel piquant",
Completed,25/05/2022,Bipap,NEIPA,1683,1,18.6000,25/05/2022 ,Brasserie Brasserie,Pitch,23.00,18.60,5.43,0.00%,0.00%,0.00,,
Completed,25/05/2022,Bipap,NEIPA,1683,1,18.6000,26/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 26,20.00,12.40,4.38,35.23%,3.55%,0.00,,
Completed,25/05/2022,Bipap,NEIPA,1683,1,18.6000,27/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 27,20.10,7.60,4.23,62.50%,6.18%,0.00,,
Completed,25/05/2022,Bipap,NEIPA,1683,1,18.6000,30/05/2022 ,Brasserie Brasserie,Fermentation Log / Mon May 30,20.00,4.40,4.22,80.68%,7.87%,0.00,,
Completed,25/05/2022,Bipap,NEIPA,1683,1,18.6000,31/05/2022 ,Brasserie Brasserie,Fermentation Log / Tue May 31,20.00,3.90,4.35,83.52%,8.14%,0.00,,
Completed,25/05/2022,Bipap,NEIPA,1683,1,18.6000,01/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 01,20.00,3.70,4.34,84.66%,8.24%,0.00,,
Completed,25/05/2022,Bipap,NEIPA,1683,1,18.6000,03/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 03,19.80,3.60,4.37,85.23%,8.29%,0.00,,
Completed,26/05/2022,Qui roule,NEIPA,1684,1,12.3000,26/05/2022 ,Brasserie Brasserie,Fermentation Log / Thu May 26,23.00,12.30,4.77,0.00%,0.00%,0.00,,
Completed,26/05/2022,Qui roule,NEIPA,1684,1,12.3000,27/05/2022 ,Brasserie Brasserie,Fermentation Log / Fri May 27,23.00,6.80,4.04,48.67%,3.00%,0.00,,
Completed,26/05/2022,Qui roule,NEIPA,1684,1,12.3000,30/05/2022 ,Brasserie Brasserie,Fermentation Log / Mon May 30,185.00,3.10,4.19,81.42%,4.95%,0.00,,
Completed,26/05/2022,Qui roule,NEIPA,1684,1,12.3000,08/06/2022 ,Simon Lalonde,Log BT,-1.60,2.80,4.31,84.07%,5.11%,0.056,"OK: Couleur un peu pale, beau haze. Tropicale, green et sec. Amertume/green résiduel piquant",
Completed,31/05/2022,Notre Folie,NEIPA,1685,1,14.4000,31/05/2022 ,Brasserie Brasserie,Fermentation Log,23.00,14.40,5.23,0.00%,0.00%,0.00,,
Completed,31/05/2022,Notre Folie,NEIPA,1685,1,14.4000,01/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 01,20.20,8.50,4.24,44.03%,3.28%,0.00,,
Completed,31/05/2022,Notre Folie,NEIPA,1685,1,14.4000,02/06/2022 ,Brasserie Brasserie,Fermentation Log / Thu Jun 02,18.30,4.70,4.21,72.39%,5.29%,0.00,,
Completed,31/05/2022,Notre Folie,NEIPA,1685,1,14.4000,03/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 03,18.90,3.90,4.30,78.36%,5.71%,0.00,,
Completed,31/05/2022,Notre Folie,NEIPA,1685,1,14.4000,06/06/2022 ,Brasserie Brasserie,Fermentation Log / Mon Jun 06,19.80,3.20,4.30,83.58%,6.08%,0.00,,
Completed,31/05/2022,Notre Folie,NEIPA,1685,1,14.4000,08/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 08,19.90,3.00,4.35,85.07%,6.18%,0.00,,
Completed,31/05/2022,Notre Folie,NEIPA,1685,1,14.4000,10/06/2022 ,Simon Lalonde,Fermentation Log / Fri Jun 10,0.00,2.80,4.23,86.57%,6.29%,0.00,,
Completed,31/05/2022,Notre Folie,NEIPA,1685,1,14.4000,13/06/2022 ,Simon Lalonde,Fermentation Log / Mon Jun 13,3.80,2.40,4.45,89.55%,6.48%,0.00,"OK: Super smooth, notes juteuses, tropicales. Belle couleur et haze modéré",
Completed,01/06/2022,Presta,NEIPA,1686,1,15.5000,01/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 01,23.00,15.50,5.35,0.00%,0.00%,0.00,,
Completed,01/06/2022,Presta,NEIPA,1686,1,15.5000,02/06/2022 ,Brasserie Brasserie,Fermentation Log / Thu Jun 02,20.00,8.50,4.12,48.28%,3.90%,0.00,,
Completed,01/06/2022,Presta,NEIPA,1686,1,15.5000,03/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 03,20.10,5.50,4.27,68.97%,5.50%,0.00,,
Completed,01/06/2022,Presta,NEIPA,1686,1,15.5000,06/06/2022 ,Brasserie Brasserie,Fermentation Log / Mon Jun 06,20.20,3.80,4.35,80.69%,6.39%,0.00,,
Completed,01/06/2022,Presta,NEIPA,1686,1,15.5000,08/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 08,20.00,3.40,4.30,83.45%,6.60%,0.00,,
Completed,01/06/2022,Presta,NEIPA,1686,1,15.5000,10/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 10,20.00,3.30,4.20,84.14%,6.65%,0.00,,
Completed,01/06/2022,Presta,NEIPA,1686,1,15.5000,13/06/2022 ,Simon Lalonde,Fermentation Log / Mon Jun 13,2.20,3.20,4.49,84.83%,6.71%,0.00,"OK : Beau haze, un peu green/rough.",
Completed,01/06/2022,IPA Test #99 | Citra Sabro,NEIPA,1687,1,14.6000,01/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 01,23.00,14.60,5.24,0.00%,0.00%,0.00,,
Completed,01/06/2022,IPA Test #99 | Citra Sabro,NEIPA,1687,1,14.6000,02/06/2022 ,Brasserie Brasserie,Fermentation Log / Thu Jun 02,20.00,9.30,4.15,38.97%,2.95%,0.00,,
Completed,01/06/2022,IPA Test #99 | Citra Sabro,NEIPA,1687,1,14.6000,03/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 03,19.90,5.30,4.21,68.38%,5.08%,0.00,,
Completed,01/06/2022,IPA Test #99 | Citra Sabro,NEIPA,1687,1,14.6000,06/06/2022 ,Brasserie Brasserie,Fermentation Log / Mon Jun 06,20.00,4.00,4.30,77.94%,5.76%,0.00,,
Completed,01/06/2022,IPA Test #99 | Citra Sabro,NEIPA,1687,1,14.6000,08/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 08,20.00,3.80,4.27,79.41%,5.87%,0.00,,
Completed,01/06/2022,IPA Test #99 | Citra Sabro,NEIPA,1687,1,14.6000,10/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 10,20.00,3.60,4.20,80.88%,5.97%,0.00,,
Completed,01/06/2022,IPA Test #99 | Citra Sabro,NEIPA,1687,1,14.6000,13/06/2022 ,Simon Lalonde,Fermentation Log / Mon Jun 13,1.60,3.50,4.36,81.62%,6.03%,0.00,"OK: Super smooth, couleur pale avec notes d'ananas sucré et très léger green",
Completed,01/06/2022,IPA Test #99 | Citra Sabro,NEIPA,1687,1,14.6000,14/06/2022 ,Simon Lalonde,Données BT,-1.00,3.40,4.40,82.35%,6.08%,0.06,Super smooth. très tropicale et peu ou pas de piquant/vert. Beau haze!,
Completed,02/06/2022,Bipap,NEIPA,1688,1,18.4000,03/06/2022 ,Brasserie Brasserie,Fermentation Log / Thu Jun 02,20.10,17.80,4.23,3.45%,0.35%,0.00,,
Completed,02/06/2022,Bipap,NEIPA,1688,1,18.4000,03/06/2022 ,Simon Lalonde,Fermentation Log / Fri Jun 03,0.00,0.00,0.00,105.75%,10.02%,0.00,,
Completed,02/06/2022,Bipap,NEIPA,1688,1,18.4000,06/06/2022 ,Brasserie Brasserie,Fermentation Log / Mon Jun 06,20.20,4.70,4.28,105.75%,10.02%,0.00,,
Completed,02/06/2022,Bipap,NEIPA,1688,1,18.4000,08/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 08,20.10,4.00,4.25,82.76%,10.77%,0.00,,
Completed,02/06/2022,Bipap,NEIPA,1688,1,18.4000,10/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 10,20.00,3.80,4.20,83.91%,10.87%,0.00,,
Completed,02/06/2022,Bipap,NEIPA,1688,1,18.4000,13/06/2022 ,Simon Lalonde,Fermentation Log / Mon Jun 13,2.40,0.00,0.00,105.75%,12.82%,0.00,,
Completed,02/06/2022,Bipap,NEIPA,1688,1,18.4000,15/06/2022 ,Simon Lalonde,Fermentation Log,-0.50,3.20,4.37,105.75%,12.82%,0.082,"alcoolisé, smooth, tropicale et même piney un peu",
Completed,03/06/2022,Trip d'Automne,Belge,1689,1,15.5000,03/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 03,18.00,15.50,5.42,0.00%,0.00%,0.00,,
Completed,03/06/2022,Trip d'Automne,Belge,1689,1,15.5000,06/06/2022 ,Brasserie Brasserie,Fermentation Log / Mon Jun 06,17.80,7.20,4.22,57.24%,4.60%,0.00,,
Completed,03/06/2022,Trip d'Automne,Belge,1689,1,15.5000,07/06/2022 ,Brasserie Brasserie,Fermentation Log / Tue Jun 07,20.00,4.60,4.06,75.17%,5.97%,0.00,,
Completed,03/06/2022,Trip d'Automne,Belge,1689,1,15.5000,09/06/2022 ,Brasserie Brasserie,Fermentation Log / Thu Jun 09,20.10,2.30,4.09,91.03%,7.17%,0.00,,
Completed,03/06/2022,Trip d'Automne,Belge,1689,1,15.5000,10/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 10,19.90,2.10,4.07,92.41%,7.27%,0.00,,
Completed,03/06/2022,Trip d'Automne,Belge,1689,1,15.5000,13/06/2022 ,Brasserie Brasserie,Fermentation Log / Mon Jun 13,19.80,2.00,4.23,93.10%,7.32%,0.00,,
Completed,03/06/2022,Trip d'Automne,Belge,1689,1,15.5000,14/06/2022 ,Brasserie Brasserie,Fermentation Log / Tue Jun 14,19.50,1.90,4.19,93.79%,7.38%,0.00,,
Completed,03/06/2022,Trip d'Automne,Belge,1689,1,15.5000,15/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 15,19.80,1.90,4.19,93.79%,7.38%,0.00,,
Completed,03/06/2022,Trip d'Automne,Belge,1689,1,15.5000,16/06/2022 ,Brasserie Brasserie,Fermentation Log / Thu Jun 16,19.80,1.90,4.21,93.79%,7.38%,0.00,,
Completed,03/06/2022,Trip d'Automne,Belge,1689,1,15.5000,27/06/2022 ,Simon Lalonde,Données finales,1.20,1.60,4.24,95.86%,7.53%,0.07,"Léger souffre, pas trop déplaisant mais levure WLP semble caractéristique",
Completed,07/06/2022,Discipline,Sans Alcool,1690,1,4.7000,07/06/2022 ,Brasserie Brasserie,Fermentation Log / Tue Jun 07,20.80,4.70,4.26,0.00%,0.00%,0.00,viabilité 99,
Completed,07/06/2022,Discipline,Sans Alcool,1690,1,4.7000,09/06/2022 ,Simon Lalonde,Fermentation Log / Thu Jun 09,19.90,4.10,4.13,16.22%,0.31%,0.00,,
Completed,07/06/2022,Discipline,Sans Alcool,1690,1,4.7000,14/06/2022 ,Simon Lalonde,Fermentation Log / Tue Jun 14,20.10,4.10,4.13,16.22%,0.31%,0.00,,
Completed,07/06/2022,Discipline,Sans Alcool,1690,1,4.7000,17/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 17,17.40,4.10,4.08,16.22%,0.31%,0.00,,
Completed,07/06/2022,Discipline,Sans Alcool,1690,1,4.7000,20/06/2022 ,Simon Lalonde,Fermentation Log / Mon Jun 20,8.30,4.20,0.00,16.22%,0.31%,0.00,"Coconut, clementine, agrumes. Léger green manque de conditionnement car à 8C",
Completed,07/06/2022,Discipline,Sans Alcool,1690,1,4.7000,20/06/2022 ,Simon Lalonde,Données BT,0.20,4.20,4.40,13.51%,0.31%,0.0044,,
Completed,08/06/2022,Notre Folie,NEIPA,1691,1,13.9000,08/06/2022 ,Brasserie Brasserie,Turn 1 / Post Boil,0.00,13.90,5.29,0.00%,0.00%,0.00,,
Completed,08/06/2022,Notre Folie,NEIPA,1691,1,13.9000,08/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 08,0.00,13.70,4.91,1.55%,0.12%,0.00,,
Completed,08/06/2022,Notre Folie,NEIPA,1691,1,13.9000,09/06/2022 ,Simon Lalonde,Fermentation Log / Thu Jun 09,0.00,7.40,4.07,50.39%,3.58%,0.0743,,
Completed,08/06/2022,Notre Folie,NEIPA,1691,1,13.9000,10/06/2022 ,Simon Lalonde,Fermentation Log / Fri Jun 10,0.00,4.20,4.04,75.19%,5.27%,0.00,,
Completed,08/06/2022,Notre Folie,NEIPA,1691,1,13.9000,13/06/2022 ,Brasserie Brasserie,Fermentation Log / Mon Jun 13,18.90,2.90,4.22,85.27%,5.95%,0.00,,
Completed,08/06/2022,Notre Folie,NEIPA,1691,1,13.9000,15/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 15,19.60,2.80,4.17,86.05%,6.00%,0.00,,
Completed,08/06/2022,Notre Folie,NEIPA,1691,1,13.9000,17/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 17,18.60,2.70,4.19,86.82%,6.05%,0.00,,
Completed,08/06/2022,Notre Folie,NEIPA,1691,1,13.9000,21/06/2022 ,Simon Lalonde,Données BT,-1.10,2.50,4.48,88.37%,6.16%,0.06,,
Completed,08/06/2022,Folle Mesure,NEIPA,1692,1,11.6000,08/06/2022 ,Brasserie Brasserie,Brasse #1 / Post Boil,22.30,11.60,5.12,0.00%,0.00%,0.00,,
Completed,08/06/2022,Folle Mesure,NEIPA,1692,1,11.6000,08/06/2022 ,Brasserie Brasserie,Fermentation Log / Wed Jun 08,22.30,11.70,5.00,0.00%,0.00%,0.00,,
Completed,08/06/2022,Folle Mesure,NEIPA,1692,1,11.6000,09/06/2022 ,Simon Lalonde,Fermentation Log / Thu Jun 09,0.00,8.30,4.15,31.13%,1.86%,0.062,,
Completed,08/06/2022,Folle Mesure,NEIPA,1692,1,11.6000,10/06/2022 ,Brasserie Brasserie,Fermentation Log / Fri Jun 10,20.10,4.80,4.22,64.15%,3.72%,0.00,,
